squad,possession,games,goals,goals_against_gk,shots_total,shots_on_target_pct,passes_pct_short,passes_pct_medium,passes_pct_long,tackles,tackles_won,dribble_tackles_pct,pressure_regain_pct,blocks,interceptions,touches,dribbles_completed_pct,carries,passes_received_pct,year,league
Arsenal,61.5,38,73,51,590,38.5,89.2,88.9,66.6,690,436,39.3,32.2,509,484,29511,61.0,19525,87.8,2021,Premier League
Bournemouth,47.8,38,45,61,473,32.3,86.3,83.2,54.2,582,331,34.7,27.5,622,466,22844,55.7,13059,83.0,2021,Premier League
Brighton,43.7,38,33,54,381,29.7,84.4,81.8,55.7,692,447,31.6,28.2,639,556,20800,62.1,11626,79.9,2021,Premier League
Burnley,43.9,38,35,39,388,32.5,83.5,79.2,47.9,578,351,34.8,27.5,675,529,19878,58.3,10366,77.3,2021,Premier League
Chelsea,55.4,38,60,38,602,34.7,88.8,88.7,65.9,720,445,40.8,32.8,510,514,27447,60.4,18152,86.6,2021,Premier League
Crystal Palace,45.3,38,44,55,466,28.5,86.6,81.7,50.4,760,451,37.8,29.3,643,631,21219,60.1,12214,79.2,2021,Premier League
Everton,45.9,38,42,58,359,30.1,85.5,82.3,50.3,749,459,36.8,27.6,641,580,21405,56.0,11908,79.4,2021,Premier League
Huddersfield,45.7,38,25,57,362,29.0,85.0,79.2,52.2,829,464,35.8,30.9,640,546,21734,50.4,12052,79.7,2021,Premier League
Leicester City,47.9,38,53,60,418,32.8,84.1,81.3,52.6,703,433,30.7,29.1,621,583,21718,57.8,12268,79.1,2021,Premier League
Liverpool,60.5,38,82,38,642,35.5,89.5,89.1,63.8,706,448,36.7,33.1,493,524,29203,62.1,19875,86.5,2021,Premier League
Manchester City,71.1,38,103,27,661,38.6,92.6,91.4,73.1,641,406,36.0,33.6,394,469,34053,62.1,24202,90.5,2021,Premier League
Manchester Utd,54.8,38,67,28,513,34.3,90.5,86.9,60.4,600,375,33.0,28.6,543,595,26317,59.2,17289,86.7,2021,Premier League
Newcastle Utd,41.7,38,38,47,451,33.7,84.6,79.6,49.2,728,410,34.8,26.5,667,559,20507,58.6,11070,78.3,2021,Premier League
Southampton,51.5,38,36,56,448,30.8,87.8,83.8,51.8,766,482,36.9,31.2,604,522,23453,64.2,14188,82.7,2021,Premier League
Stoke City,41.3,38,34,68,390,31.3,82.1,78.7,49.8,768,435,39.3,27.3,595,541,19301,55.4,10086,78.0,2021,Premier League
Swansea City,45.2,38,27,56,337,27.9,88.4,83.8,56.2,659,394,35.5,28.0,557,525,21756,56.1,13276,82.5,2021,Premier League
Tottenham,61.9,38,70,36,625,33.9,88.6,87.4,65.0,695,422,37.4,34.3,516,455,28270,59.1,18754,87.0,2021,Premier League
Watford,49.6,38,42,64,437,29.3,85.9,79.9,52.7,736,454,36.1,29.9,508,594,22191,53.2,12401,80.1,2021,Premier League
